haeldning_300m,elevation,mass_balance,haeldning_adaptiv,hastighed_x,retning,hastighed_y,afstand_til_kant_km,areal,gletsjer_dybde
0.25,50.63,-671.4,0.51,-6.56,315.0,10.74,0.071,0.029,6.0
0.24,41.51,-681.05,0.44,-7.9,323.49,11.06,0.062,0.029,5.0
0.24,45.06,-677.29,0.46,-6.56,323.37,10.74,0.06,0.029,5.0
0.24,44.43,-677.96,0.44,-6.56,329.18,10.74,0.055,0.029,5.0
0.22,33.58,-689.43,0.33,-7.9,336.33,11.06,0.033,0.029,7.0
0.24,43.93,-678.49,0.42,-6.56,333.69,10.74,0.05,0.029,7.0
0.24,43.42,-679.02,0.4,-6.56,338.19,10.74,0.046,0.029,9.0
0.24,42.77,-679.72,0.38,-6.56,343.97,10.74,0.041,0.029,10.0
0.24,42.14,-680.38,0.36,-6.56,272.48,10.74,0.036,0.029,11.0
0.24,41.51,-681.05,0.34,-6.56,194.44,10.74,0.033,0.029,11.0
0.26,67.63,-653.41,0.56,-4.65,275.64,10.77,0.02,0.029,14.0
0.26,63.01,-658.31,0.51,-4.65,308.63,10.77,0.024,0.029,15.0
0.24,40.8,-681.79,0.32,-5.79,106.63,10.96,0.03,0.029,12.0
0.26,61.71,-659.68,0.48,-4.65,301.75,10.77,0.018,0.029,14.0
0.24,40.11,-682.53,0.3,-5.79,18.81,10.96,0.028,0.029,13.0
0.26,69.36,-651.58,0.55,-4.65,272.09,10.77,0.001,0.029,3.0
0.25,56.65,-665.03,0.43,-5.79,257.03,10.96,0.02,0.029,13.0
0.24,39.57,-683.09,0.29,-5.79,5.28,10.96,0.028,0.029,11.0
0.25,55.71,-666.02,0.41,-5.79,203.9,10.96,0.016,0.029,13.0
